"Year","Agriculture","Construction","Manufacturing","Mining.and.quarrying","Services","plus.Import.duties","Less...Undistributed.FISIM","toe_person","Demand.Industrial","Demand.Transport","Demand.Agriculture","Demand.Non.Energy","Demand.Residential.and.Commercial","Supply.Crude.Oil","Supply.Petroleum.Products","Supply.Natural.Gas","Supply.Coal.and.Coke","Supply.Hydropower","Supply.Biodiesel","Supply.Solar","Supply.Biomass","Supply.Biogas","total_ghg","total_gdp","Type","ghg_intensity"
1991,47556.379710044,11919.3470774538,61524.6223972585,28690.0389275491,144167.995650024,12705.9029759659,0,1.38,5809,5806,130,1071,1721,9443,4163,10112,1564,379,0,0,0,0,92510000,306564.286738295,"Historical",301.763786591923
1992,50815.3613175158,13198.1879613984,65836.9288618287,30004.6323523352,160281.390787726,14017.7462053027,0,1.5,6455,6226,391,1222,1867,10175,5098,11381,1640,375,0,0,0,0,95309999.9,334154.247486107,"Historical",285.22755768341
1993,49222.998152346,14622.7892041582,75693.629352275,28808.2973318708,181523.900438454,14972.0640262248,0,1.48,7012,6558,62,2027,2055,10135,5816,11360,1352,419,0,0,0,0,102130000.2,364843.678505329,"Historical",279.92810679467
1994,48290.6818950186,16833.9463454302,83504.18442841,30521.6690968117,199369.918709242,18319.0518880756,0,1.52,7283,7262,422,1817,2300,13605,2450,12392,1563,561,0,0,0,0,110860000,396839.452362988,"Historical",279.357305176897
1995,47069.5951155102,20381.698475083,90709.6965056894,37518.166319941,218566.282945658,18764.5835508692,0,1.59,8060,7827,446,2994,2556,16159,608,13960,1612,535,0,0,0,0,118500000,433010.022912751,"Historical",273.665720721382
1996,49198.2463933019,23679.1828188456,107546.393046569,38612.7441087796,237957.911058978,20227.6875299198,0,1.75,9443,8951,486,1744,3162,18255,1098,15567,1677,446,0,0,0,0,132440000,477222.164956394,"Historical",277.522734117142
1997,49533.7702381218,26190.111264096,119075.212370216,39344.2960983049,264277.281509193,21129.7516373044,0,1.96,10106,10201,490,2298,3072,17917,3803,19041,1622,333,0,0,0,0,142050000,519550.423117236,"Historical",273.409458792697
1998,48164.1729043488,19914.1652486947,100313.379014796,39481.8058707721,261287.819055757,12183.3658405907,0,1.8,10121,9793,307,2023,3314,17132,1920,19101,1731,417,0,0,0,0,143770000,481344.707934959,"Historical",298.684077398077
1999,48392.4391266443,19047.8536821515,115488.957504272,42196.2487792739,272863.391702043,14631.0397905062,0,1.9,10277,11393,106,1799,3653,17643,1807,21476,1940,647,0,0,0,0,151960000,512619.930584891,"Historical",296.4379473631
2000,49796.2304743073,22698.1643084728,178725.703216321,61119.3161626213,285397.326791422,9467.58793310457,28121.677011528,2.12,11406,12071,104,2250,3868,21673,-1431,26370,2486,599,0,0,0,0,162600000.2,607204.328886249,"Historical",267.784652487978
